"","added_at","is_local","primary_color","added_by.href","added_by.id","added_by.type","added_by.uri","added_by.external_urls.spotify","track.disc_number","track.duration_ms","track.episode","track.explicit","track.href","track.id","track.is_local","track.name","track.popularity","track.preview_url","track.track","track.track_number","track.type","track.uri","track.album.album_type","track.album.href","track.album.id","track.album.name","track.album.release_date","track.album.release_date_precision","track.album.total_tracks","track.album.type","track.album.uri","track.album.external_urls.spotify","track.external_ids.isrc","track.external_urls.spotify","video_thumbnail.url","playlist"
"1","2021-10-04T20:25:51Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,196053,FALSE,FALSE,"https://api.spotify.com/v1/tracks/4T1zKdbemkd2WQVnyfGPSp","4T1zKdbemkd2WQVnyfGPSp",FALSE,"You're My Flame",23,"https://p.scdn.co/mp3-preview/55f701ba763a97bcf734cdbc5338039ccd7944cb?cid=1e3e367c14764614b74fd97888444a27",TRUE,5,"track","spotify:track:4T1zKdbemkd2WQVnyfGPSp","album","https://api.spotify.com/v1/albums/0dHuMc9pgtAVWBw9lx4I6M","0dHuMc9pgtAVWBw9lx4I6M","The Garden (Special Edition)","2020-04-03","day",23,"album","spotify:album:0dHuMc9pgtAVWBw9lx4I6M","https://open.spotify.com/album/0dHuMc9pgtAVWBw9lx4I6M","GBAHS0600016","https://open.spotify.com/track/4T1zKdbemkd2WQVnyfGPSp",NA,"My Playlist #127"
"2","2021-10-05T16:32:43Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,201960,FALSE,FALSE,"https://api.spotify.com/v1/tracks/4roBcHq6JZq6FBfbf0k6uF","4roBcHq6JZq6FBfbf0k6uF",FALSE,"Get Closer",46,"https://p.scdn.co/mp3-preview/8d33e1660b42284f7e5bd07a6fa33b0a34b091f9?cid=1e3e367c14764614b74fd97888444a27",TRUE,1,"track","spotify:track:4roBcHq6JZq6FBfbf0k6uF","single","https://api.spotify.com/v1/albums/1SKAfddsLQC9iKrYq1dAOm","1SKAfddsLQC9iKrYq1dAOm","Get Closer","2021-05-21","day",1,"album","spotify:album:1SKAfddsLQC9iKrYq1dAOm","https://open.spotify.com/album/1SKAfddsLQC9iKrYq1dAOm","USA2P2100935","https://open.spotify.com/track/4roBcHq6JZq6FBfbf0k6uF",NA,"My Playlist #127"
"3","2021-10-05T16:56:42Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",2,275306,FALSE,FALSE,"https://api.spotify.com/v1/tracks/4iaGeV4WFvP2ynbqCIyTpS","4iaGeV4WFvP2ynbqCIyTpS",FALSE,"Mykonos",0,NA,TRUE,4,"track","spotify:track:4iaGeV4WFvP2ynbqCIyTpS","album","https://api.spotify.com/v1/albums/62miIQWlOO88YmupzmUNGJ","62miIQWlOO88YmupzmUNGJ","First Collection 2006-2009","2018-11-09","day",30,"album","spotify:album:62miIQWlOO88YmupzmUNGJ","https://open.spotify.com/album/62miIQWlOO88YmupzmUNGJ","USSUB0878104","https://open.spotify.com/track/4iaGeV4WFvP2ynbqCIyTpS",NA,"My Playlist #127"
"4","2021-10-08T00:09:51Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,277506,FALSE,FALSE,"https://api.spotify.com/v1/tracks/5RRNZFyOi17nTh2bPEKPtp","5RRNZFyOi17nTh2bPEKPtp",FALSE,"Dog Years",58,NA,TRUE,4,"track","spotify:track:5RRNZFyOi17nTh2bPEKPtp","single","https://api.spotify.com/v1/albums/16wZsyXQ463IYlrXyJnRfY","16wZsyXQ463IYlrXyJnRfY","Now That The Light Is Fading","2017-02-16","day",5,"album","spotify:album:16wZsyXQ463IYlrXyJnRfY","https://open.spotify.com/album/16wZsyXQ463IYlrXyJnRfY","USUG11601141","https://open.spotify.com/track/5RRNZFyOi17nTh2bPEKPtp",NA,"My Playlist #127"
"5","2021-09-18T17:26:59Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,133706,FALSE,TRUE,"https://api.spotify.com/v1/tracks/1uMHCAyGmHqyygoNRuo7MV","1uMHCAyGmHqyygoNRuo7MV",FALSE,"edamame (feat. Rich Brian)",87,"https://p.scdn.co/mp3-preview/8442199b8dbd51ad2767a6cd73e1db73aa7362c3?cid=1e3e367c14764614b74fd97888444a27",TRUE,1,"track","spotify:track:1uMHCAyGmHqyygoNRuo7MV","single","https://api.spotify.com/v1/albums/1YrACh9xDRGpjrkdWz4MfP","1YrACh9xDRGpjrkdWz4MfP","edamame (feat. Rich Brian)","2021-07-24","day",1,"album","spotify:album:1YrACh9xDRGpjrkdWz4MfP","https://open.spotify.com/album/1YrACh9xDRGpjrkdWz4MfP","QMUY42100151","https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV",NA,"Hekkin Chonkasaurus"
"6","2021-09-19T15:50:11Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,295360,FALSE,FALSE,"https://api.spotify.com/v1/tracks/3BBVKzYSV7iuWutG3saanI","3BBVKzYSV7iuWutG3saanI",FALSE,"The Whole World (feat. Killer Mike)",0,NA,TRUE,6,"track","spotify:track:3BBVKzYSV7iuWutG3saanI","compilation","https://api.spotify.com/v1/albums/3zl0RrxQ12lge8qcm6PbE6","3zl0RrxQ12lge8qcm6PbE6","Big Boi & Dre Present...OutKast","2001-10-04","day",16,"album","spotify:album:3zl0RrxQ12lge8qcm6PbE6","https://open.spotify.com/album/3zl0RrxQ12lge8qcm6PbE6","USAR10100791","https://open.spotify.com/track/3BBVKzYSV7iuWutG3saanI",NA,"Hekkin Chonkasaurus"
"7","2021-09-19T16:49:05Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,242600,FALSE,TRUE,"https://api.spotify.com/v1/tracks/2QBlIsDMYoHcANWylV74Oj","2QBlIsDMYoHcANWylV74Oj",FALSE,"A Day At The Races",53,NA,TRUE,6,"track","spotify:track:2QBlIsDMYoHcANWylV74Oj","album","https://api.spotify.com/v1/albums/2w9KjhjN2oMGhEvE15HK5T","2w9KjhjN2oMGhEvE15HK5T","Power In Numbers","2002-01-01","day",17,"album","spotify:album:2w9KjhjN2oMGhEvE15HK5T","https://open.spotify.com/album/2w9KjhjN2oMGhEvE15HK5T","USIR10211370","https://open.spotify.com/track/2QBlIsDMYoHcANWylV74Oj",NA,"Hekkin Chonkasaurus"
"8","2021-09-19T15:55:26Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,225400,FALSE,TRUE,"https://api.spotify.com/v1/tracks/5eV0XIpuWFS8H7OYDDxA4E","5eV0XIpuWFS8H7OYDDxA4E",FALSE,"If You Must",45,"https://p.scdn.co/mp3-preview/8b60056e2ed61cdf3511b7bd2457e6f7af807f1d?cid=1e3e367c14764614b74fd97888444a27",TRUE,2,"track","spotify:track:5eV0XIpuWFS8H7OYDDxA4E","album","https://api.spotify.com/v1/albums/6DHCRrWGl9f57G4JBu4AVv","6DHCRrWGl9f57G4JBu4AVv","Both Sides Of The Brain","2000-01-01","day",17,"album","spotify:album:6DHCRrWGl9f57G4JBu4AVv","https://open.spotify.com/album/6DHCRrWGl9f57G4JBu4AVv","US28M0410206","https://open.spotify.com/track/5eV0XIpuWFS8H7OYDDxA4E",NA,"Hekkin Chonkasaurus"
"9","2021-09-19T16:49:21Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,227360,FALSE,FALSE,"https://api.spotify.com/v1/tracks/0goVj3eJV1oD5yqXzkjqLA","0goVj3eJV1oD5yqXzkjqLA",FALSE,"Bring Tha Noize",51,NA,TRUE,14,"track","spotify:track:0goVj3eJV1oD5yqXzkjqLA","album","https://api.spotify.com/v1/albums/2UqKqZofb9pdapHk4HzRUo","2UqKqZofb9pdapHk4HzRUo","Apocalypse 91… The Enemy Strikes Black","1991-10-01","day",14,"album","spotify:album:2UqKqZofb9pdapHk4HzRUo","https://open.spotify.com/album/2UqKqZofb9pdapHk4HzRUo","USWWW0136651","https://open.spotify.com/track/0goVj3eJV1oD5yqXzkjqLA",NA,"Hekkin Chonkasaurus"
"10","2021-09-19T17:02:56Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,279506,FALSE,FALSE,"https://api.spotify.com/v1/tracks/6qspW4YKycviDFjHBOaqUY","6qspW4YKycviDFjHBOaqUY",FALSE,"Waterfalls",72,"https://p.scdn.co/mp3-preview/153fef447340797b7be5ee02d72124d532fe1209?cid=1e3e367c14764614b74fd97888444a27",TRUE,8,"track","spotify:track:6qspW4YKycviDFjHBOaqUY","album","https://api.spotify.com/v1/albums/5eg56dCpFn32neJak2vk0f","5eg56dCpFn32neJak2vk0f","Crazysexycool","1994-11-15","day",16,"album","spotify:album:5eg56dCpFn32neJak2vk0f","https://open.spotify.com/album/5eg56dCpFn32neJak2vk0f","USLF29400133","https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY",NA,"Hekkin Chonkasaurus"
